YearsExperience,Salary
4.37,69364.81
1.03,45894.12
7.99,91285.4
3.23,58587.08
4.78,68310.91
3.39,63822.9
5.5,69643.23
6.43,81873.02
7.88,90087.01
7.02,84513.44
9.82,96888.02
6.21,77804.55
8.23,83411.54
7.23,85826.66
0.76,50038.11
9.09,87729.07
4.77,66544.88
1.63,44841.19
8.44,79116.02
2.42,54457.11
2.15,46129.26
4.77,66141.46
6.86,84657.3
9.6,104478.08
8.42,90657.16
5.33,68586.26
6.49,80015.33
8.43,83614.49
4.75,69005.97
7.74,85820.82
6.55,82527.76
3.94,60074.76
0.64,43581.77
5.65,73354.95
3.52,60424.42
1.88,56566.53
5.71,67985.75
2.28,51365.44
4.29,67484.02
2.78,53668.36
0.85,41403.59
5.9,65651.79
9.27,89267.64
2.2,49487.96
7.18,80867.33
7.34,83189.8
0.8,41866.04
6.04,77722.92
7.13,86903.61
9.14,96055.97
9.68,100372.39
8.44,85765.65
9.54,94154.12
5.31,70449.96
2.35,67849.8
1.16,48390.8
9.3,96698.54
4.22,66589.28
4.38,65430.99
2.12,51465.7
1.76,57078.94
5.34,72733.7
3.74,62897.96
4.84,69392.25
0.96,46975.81
2.94,56122.01
9.25,91938.5
1.34,51594.08
6.32,81351.48
7.64,88913.63
4.95,72114.39
6.52,80154.66
4.57,59619.72
9.6,95040.62
8.86,91506.79
1.62,50646.24
1.24,44520.01
9.0,100471.86
0.61,37591.89
7.58,87304.01
1.77,47178.96
1.9,47163.77
4.83,66010.5
8.33,89234.43
4.32,64613.13
6.76,83777.3
4.14,65671.91
9.36,96007.45
1.84,54721.1
8.73,90204.52
5.19,78613.03
1.76,57637.4
8.82,91120.24
1.57,44061.04
5.48,76673.76
3.2,65311.34
2.22,52292.26
6.83,75400.46
5.44,72970.9
3.25,58459.23
