comment,label
You sound horrible,toxic
So clear and helpful,support
You sound horrible,toxic
This helped me a lot!,support
Clickbait title,toxic
Thanks for the content!,support
Stop making content,toxic
Best tutorial I've seen,support
This is trash,toxic
Awesome explanation,support
Can't believe people like this,toxic
You're amazing!,support
You're so dumb,toxic
I learned a lot!,support
Stop making content,toxic
Thanks for the content!,support
This is trash,toxic
Much appreciated!,support
Cringe content,toxic
So clear and helpful,support
Waste of time,toxic
You're amazing!,support
Stop making content,toxic
Much appreciated!,support
Waste of time,toxic
This helped me a lot!,support
You're such a loser,toxic
Legend!,support
Cringe content,toxic
Thanks for the content!,support
Waste of time,toxic
I learned a lot!,support
Waste of time,toxic
Best tutorial I've seen,support
Worst video ever,toxic
I learned a lot!,support
This is trash,toxic
I learned a lot!,support
You're so dumb,toxic
Keep up the great work,support
You sound horrible,toxic
Best tutorial I've seen,support
Stop making content,toxic
I learned a lot!,support
You sound horrible,toxic
Awesome explanation,support
Worst video ever,toxic
So clear and helpful,support
Clickbait title,toxic
Legend!,support
You're so dumb,toxic
So clear and helpful,support
Worst video ever,toxic
Thanks for the content!,support
Clickbait title,toxic
Keep up the great work,support
Clickbait title,toxic
This helped me a lot!,support
You sound horrible,toxic
Legend!,support
This is trash,toxic
Much appreciated!,support
You sound horrible,toxic
I learned a lot!,support
Cringe content,toxic
I learned a lot!,support
You're such a loser,toxic
I learned a lot!,support
This is trash,toxic
I learned a lot!,support
You're so dumb,toxic
You're amazing!,support
You're so dumb,toxic
Keep up the great work,support
You sound horrible,toxic
This helped me a lot!,support
You're so dumb,toxic
Keep up the great work,support
You sound horrible,toxic
You're amazing!,support
You sound horrible,toxic
You're amazing!,support
This is trash,toxic
Legend!,support
You're so dumb,toxic
This helped me a lot!,support
Clickbait title,toxic
You're amazing!,support
Stop making content,toxic
Legend!,support
Stop making content,toxic
This helped me a lot!,support
Worst video ever,toxic
You're amazing!,support
Cringe content,toxic
This helped me a lot!,support
This is trash,toxic
Keep up the great work,support
Waste of time,toxic
Legend!,support
